Week,Total A&E Attendances,Date
200,"411,982.00",31/08/2014
201,"422,837.00",07/09/2014
202,"431,057.00",14/09/2014
203,"441,200.00",21/09/2014
204,"433,844.00",28/09/2014
205,"435,217.00",05/10/2014
206,"422,636.00",12/10/2014
207,"433,392.00",19/10/2014
208,"427,291.00",26/10/2014
209,"417,460.00",02/11/2014
210,"418,413.00",09/11/2014
211,"429,287.00",16/11/2014
212,"430,386.00",23/11/2014
213,"433,100.00",30/11/2014
214,"436,377.00",07/12/2014
215,"440,447.00",14/12/2014
216,"446,501.00",21/12/2014
217,"403,314.00",28/12/2014
218,"407,372.00",04/01/2015
219,"388,832.00",11/01/2015
220,"377,839.00",18/01/2015
221,"389,400.00",25/01/2015
222,"400,414.00",01/02/2015
223,"407,187.00",08/02/2015
224,"420,026.00",15/02/2015
225,"405,622.00",22/02/2015
226,"425,611.00",01/03/2015
227,"433,927.00",08/03/2015
228,"433,269.00",15/03/2015
229,"444,849.00",22/03/2015
230,"444,473.00",29/03/2015
231,"439,766.00",05/04/2015
232,"442,874.00",12/04/2015
233,"433,918.00",19/04/2015
234,"434,596.00",26/04/2015
235,"433,407.00",03/05/2015
236,"445,116.00",10/05/2015
237,"441,271.00",17/05/2015
238,"434,701.00",24/05/2015
239,"430,635.00",31/05/2015
240,"434,724.00",07/06/2015
241,"444,151.00",14/06/2015
242,"448,591.00",21/06/2015
243,"448,428.00",28/06/2015
